NAME,Distance,Mass,Radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Sun,0.000015813,1,1,PSR B1257+12 b,1957,0.02 earths,,1994,https://exoplanets.nasa.gov/exoplanet-catalog/7134/psr-b125712-b/,Terrestrial,1994,0.02 Earths,0.338 x Earth,0.19 AU,25.3 days,0.0,PSR B1257+12,b,psr b1257+12 b,Pulsar Timing,0,3,25.26200000,0.00300000,-0.00300000,0,0.190000,,,0,0.000000,,,0,50.000,,,0,0.00006,0.00001,-0.00001,0,Mass,,,,,,,,,0,0,0,1,13h00m03.58s,195.014903,+12d40m56.5s,12.682353,600.00,100.00,-100.00,0,,,,,,,,,,,,,,,,1.40,,,0,,,,,2018-12-06,Arecibo Observatory
Sirius,0008.6,2.1,1.71´,Kepler-444 b,119,0.0374 earths,8.88,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5561/kepler-444-b/,Terrestrial,2015,0.0374 Earths,0.403 x Earth,0.04178 AU,3.6 days,0.16,Kepler-442,b,kepler-442 b,Transit,0,1,112.30530000,0.00240000,-0.00280000,0,0.409000,0.209000,-0.060000,0,0.040000,0.080000,-0.040000,-1,89.940,0.060,-0.120,0,,,,,,0.120,0.010,-0.020,0,,,,,0,1,0,1,19h01m27.98s,285.366589,+39d16m48.3s,39.280081,342.00,19.00,-22.00,0,369.86,2.78,-2.78,0,14.976,,0,Kepler-band,14.930,,0,4402.00,100.00,-100.00,0,0.61,0.03,-0.03,0,0.60,0.02,-0.02,0,2015-01-06,Kepler
Canopus,0310,15,71,Kepler-138 b,219,0.066 earths,12.472,2014,https://exoplanets.nasa.gov/exoplanet-catalog/1556/kepler-138-b/,Terrestrial,2014,0.066 Earths,0.522 x Earth,0.076 AU,10.3 days,0.01,Kepler-1388,d,kepler-1388 d,Transit,0,4,20.95681580,0.00017130,-0.00017130,0,,,,,,,,,,,,,,,,,,0.255,0.011,-0.017,0,,,,,0,1,0,1,18h53m20.65s,283.336040,+47d10m28.3s,47.174535,492.00,23.64,-30.78,0,459.67,7.62,-7.62,0,16.279,,0,Kepler-band,16.294,,0,4098.00,48.16,-51.90,0,0.63,0.02,-0.03,0,0.61,0.02,-0.03,0,2016-05-10,Kepler
Alpha Centauri,0004.4,1.1,1.2,Kepler-444 c,119,0.0793 earths,8.88,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5562/kepler-444-c/,Terrestrial,2015,0.0793 Earths,0.497 x Earth,0.04881 AU,4.5 days,0.31,Kepler-443,b,kepler-443 b,Transit,0,1,177.66930000,0.00310000,-0.00300000,0,0.495000,0.186000,-0.075000,0,0.110000,0.150000,-0.110000,-1,89.940,0.060,-0.130,0,,,,,,0.210,0.020,-0.020,0,,,,,0,1,0,1,19h14m26.53s,288.610544,+49d58m07.1s,49.968632,779.00,45.00,-38.00,0,820.72,23.49,-23.49,0,15.891,,0,Kepler-band,15.901,,0,4723.00,100.00,-100.00,0,0.74,0.03,-0.03,0,0.71,0.03,-0.02,0,2015-01-06,Kepler
Arcturus,0037,1.1,26,Kepler-1308 b,238,0.0933 earths,14.474,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4443/kepler-1308-b/,Terrestrial,2016,0.0933 Earths,0.52 x Earth,Unknown,2.1 days,0.0,Kepler-1305,b,kepler-1305 b,Transit,0,1,13.56309720,0.00013850,-0.00013850,0,,,,,,,,,,,,,,,,,,0.168,0.031,-0.017,0,,,,,0,1,0,1,19h49m21.47s,297.339446,+46d20m50.1s,46.347252,1343.00,235.66,-139.15,0,1646.08,92.05,-92.05,0,15.785,,0,Kepler-band,15.714,,0,5701.00,138.16,-175.79,0,0.97,0.06,-0.06,0,0.96,0.17,-0.09,0,2016-05-10,Kepler
Vega,0025,2.2,2.7,Kepler-444 e,119,0.1 earths,8.88,2015,https://exoplanets.nasa.gov/exoplanet-catalog/5474/kepler-444-e/,Terrestrial,2015,0.1 Earths,0.546 x Earth,0.0696 AU,7.7 days,0.1,Kepler-444,c,kepler-444 c,Transit,0,5,4.54588410,0.00000700,-0.00000710,0,0.048810,0.000930,-0.000930,0,0.310000,0.120000,-0.150000,0,88.200,1.200,-1.000,0,,,,,,0.044,0.002,-0.002,0,,,,,0,1,0,1,19h19m00.55s,289.752289,+41d38m04.6s,41.634605,36.48,0.04,-0.04,0,36.48,0.04,-0.04,0,8.880,0.020,0,V (Johnson),8.643,,0,5046.00,74.00,-74.00,0,0.76,0.04,-0.04,0,0.75,0.01,-0.01,0,2015-01-29,Kepler
Capella,0043,2.6,12,Kepler-35 b,5366,0.127 jupiters,15.735,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1820/kepler-35-b/,Gas Giant,2011,0.127 Jupiters,0.728 x Jupiter,0.60347 AU,131.5 days,0.04,Kepler-359,d,kepler-359 d,Transit,0,3,77.09569100,0.00145300,-0.00145300,0,0.372000,,,0,,,,,,,,,,,,,,0.358,0.170,-0.170,0,,,,,0,1,0,1,19h33m10.47s,293.293635,+42d11m46.9s,42.196354,1502.22,81.73,-81.73,0,1502.22,81.73,-81.73,0,15.886,,0,Kepler-band,15.881,,0,6248.00,250.00,-250.00,0,,,,,1.09,0.50,-0.50,0,2014-05-14,Kepler
Rigel,0860,23,78.9,Kepler-494 b,2812,0.127 jupiters,14.122,2016,https://exoplanets.nasa.gov/exoplanet-catalog/5691/kepler-494-b/,Gas Giant,2016,0.127 Jupiters,0.637 x Jupiter,Unknown,8 days,0.0,Kepler-49,e,kepler-49 e,Transit,0,4,18.59610800,0.00007900,-0.00007900,0,0.116000,,,0,,,,,,,,,,,,,,0.139,0.007,-0.007,0,,,,,1,1,0,1,19h29m10.70s,292.294579,+40d35m30.5s,40.591801,314.02,2.54,-2.54,0,314.02,2.54,-2.54,0,15.264,,0,Kepler-band,15.229,,0,4252.00,100.00,-100.00,0,,,,,0.56,0.02,-0.02,0,2014-05-14,Kepler
Procyon,0011.4,1.5,1.9,Kepler-849 b,2437,0.127 jupiters,12.836,2016,https://exoplanets.nasa.gov/exoplanet-catalog/4299/kepler-849-b/,Gas Giant,2016,0.127 Jupiters,0.637 x Jupiter,Unknown,394.6 days,0.0,Kepler-843,b,kepler-843 b,Transit,0,1,2.05387982,0.00000290,-0.00000290,0,,,,,,,,,,,,,,,,,,0.231,0.054,-0.022,0,,,,,0,1,0,1,19h45m17.28s,296.321994,+48d58m17.3s,48.971478,1247.00,284.12,-126.30,0,1204.50,49.52,-49.52,0,15.269,,0,Kepler-band,15.248,,0,5830.00,106.99,-143.16,0,1.02,0.06,-0.06,0,1.03,0.24,-0.10,0,2016-05-10,Kepler
Betelgeuse,0640[1],20,950,WASP-156 b,457,0.128 jupiters,11.6,2017,https://exoplanets.nasa.gov/exoplanet-catalog/6058/wasp-156-b/,Gas Giant,2017,0.128 Jupiters,0.51 x Jupiter,0.0453 AU,3.8 days,< 0.007,WASP-151,b,wasp-151 b,Transit,0,1,4.53347100,0.00000400,-0.00000400,0,0.055000,0.001000,-0.001000,0,0.003000,,,1,89.200,0.600,-0.600,0,0.31000,0.04000,-0.03000,0,Mass,1.130,0.030,-0.030,0,0.29000,0.04000,-0.03000,0,0,0,1,0,23h16m15.23s,349.063446,+00d18m24.3s,0.306743,458.91,10.02,-10.02,0,458.91,10.02,-10.02,0,12.795,0.010,0,V (Johnson),12.628,,0,5871.00,57.00,-57.00,0,1.08,0.08,-0.08,0,1.14,0.03,-0.03,0,2017-10-26,SuperWASP-South
